iter	Passed	Remaining
742	4992	1727
743	5000	1720
744	5006	1713
745	5014	1707
746	5021	1700
747	5030	1694
748	5037	1688
749	5045	1681
750	5052	1675
751	5060	1668
752	5068	1662
753	5075	1656
754	5083	1649
755	5089	1642
756	5097	1636
757	5104	1629
758	5110	1622
759	5118	1616
760	5124	1609
761	5132	1603
762	5138	1596
763	5146	1589
764	5153	1583
765	5160	1576
766	5168	1569
767	5175	1563
768	5183	1557
769	5191	1550
770	5199	1544
771	5205	1537
772	5213	1530
773	5221	1524
774	5229	1518
775	5236	1511
776	5243	1504
777	5250	1498
778	5258	1491
779	5266	1485
780	5273	1478
781	5280	1472
782	5287	1465
783	5295	1459
784	5303	1452
785	5310	1445
786	5317	1439
787	5325	1432
788	5331	1425
789	5339	1419
790	5347	1412
791	5355	1406
792	5362	1399
793	5370	1393
794	5378	1386
795	5385	1380
796	5392	1373
797	5400	1366
798	5407	1360
799	5414	1353
800	5423	1347
801	5429	1340
802	5436	1333
803	5444	1327
804	5451	1320
805	5459	1314
806	5466	1307
807	5473	1300
808	5481	1294
809	5488	1287
810	5496	1281
811	5504	1274
812	5511	1267
813	5517	1260
814	5525	1254
815	5533	1247
816	5541	1241
817	5548	1234
818	5554	1227
819	5561	1220
820	5568	1214
821	5575	1207
822	5583	1200
823	5591	1194
824	5598	1187
825	5606	1181
826	5614	1174
827	5621	1167
828	5629	1161
829	5637	1154
830	5644	1147
831	5651	1141
832	5659	1134
833	5665	1127
834	5673	1121
835	5681	1114
836	5688	1107
837	5695	1100
838	5703	1094
839	5712	1088
840	5720	1081
841	5727	1074
842	5733	1067
843	5740	1061
844	5747	1054
845	5755	1047
846	5762	1040
847	5769	1034
848	5777	1027
849	5785	1020
850	5792	1014
851	5799	1007
852	5806	1000
853	5814	994
854	5821	987
855	5828	980
856	5834	973
857	5842	966
858	5849	960
859	5856	953
860	5864	946
861	5871	939
862	5878	933
863	5885	926
864	5892	919
865	5900	912
866	5908	906
867	5916	899
868	5923	892
869	5930	886
870	5938	879
871	5945	872
872	5953	866
873	5960	859
874	5968	852
875	5976	845
876	5983	839
877	5990	832
878	5998	825
879	6005	818
880	6014	812
881	6021	805
882	6029	798
883	6037	792
884	6043	785
885	6051	778
886	6057	771
887	6065	765
888	6073	758
889	6080	751
890	6087	744
891	6094	737
892	6102	731
893	6110	724
894	6118	717
895	6125	710
896	6132	704
897	6140	697
898	6148	690
899	6155	683
900	6162	677
901	6170	670
902	6177	663
903	6185	656
904	6192	650
905	6201	643
906	6208	636
907	6216	629
908	6224	623
909	6231	616
910	6238	609
911	6246	602
912	6253	595
913	6259	588
914	6267	582
915	6275	575
916	6282	568
917	6290	561
918	6297	555
919	6304	548
920	6312	541
921	6321	534
922	6329	528
923	6337	521
924	6344	514
925	6351	507
926	6360	500
927	6368	494
928	6376	487
929	6383	480
930	6389	473
931	6397	466
932	6406	460
933	6413	453
934	6421	446
935	6429	439
936	6435	432
937	6443	425
938	6451	419
939	6458	412
940	6465	405
941	6472	398
942	6479	391
943	6488	384
944	6495	378
945	6503	371
946	6511	364
947	6518	357
948	6526	350
949	6534	343
950	6541	337
951	6549	330
952	6556	323
953	6563	316
954	6571	309
955	6579	302
956	6586	295
957	6594	289
958	6602	282
959	6610	275
960	6617	268
961	6624	261
962	6632	254
963	6640	247
964	6647	241
965	6654	234
966	6661	227
967	6669	220
968	6676	213
969	6684	206
970	6692	199
971	6700	193
972	6707	186
973	6714	179
974	6721	172
975	6729	165
976	6737	158
977	6745	151
978	6753	144
979	6760	137
980	6768	131
981	6775	124
982	6783	117
983	6791	110
984	6798	103
985	6806	96
986	6813	89
987	6821	82
988	6828	75
989	6836	69
990	6844	62
991	6851	55
992	6860	48
993	6868	41
994	6876	34
995	6883	27
996	6891	20
997	6898	13
998	6906	6
999	6914	0
